,epoch,loss,root_mean_squared_error,ndcg_metric,recall_metric,hits_metric,mean_absolute_error,kl_div,val_loss,val_root_mean_squared_error,val_ndcg_metric,val_recall_metric,val_hits_metric,val_mean_absolute_error,val_kl_div
40,41,12.7799,0.0430,0.5308,0.3096,0.9330,0.0102,0.3415,32.8493,0.0607,0.1560,0.0260,0.2364,0.0136,0.0000e+00
41,42,12.7708,0.0429,0.5324,0.3105,0.9336,0.0102,0.3442,32.8315,0.0603,0.1535,0.0248,0.2288,0.0132,0.0000e+00
42,43,12.7429,0.0429,0.5341,0.3112,0.9332,0.0101,0.3472,33.5718,0.0606,0.1441,0.0228,0.2189,0.0133,0.0000e+00
43,44,12.6725,0.0427,0.5359,0.3127,0.9352,0.0101,0.3495,33.0204,0.0607,0.1488,0.0228,0.2192,0.0134,0.0000e+00
44,45,12.6575,0.0427,0.5374,0.3135,0.9351,0.0100,0.3529,34.5375,0.0605,0.1367,0.0212,0.2066,0.0129,0.0000e+00
45,46,12.6244,0.0426,0.5390,0.3140,0.9363,0.0100,0.3556,33.5072,0.0602,0.1428,0.0204,0.2034,0.0129,0.0000e+00
46,47,12.5948,0.0426,0.5404,0.3147,0.9360,0.0099,0.3584,34.4582,0.0605,0.1323,0.0193,0.1961,0.0129,0.0000e+00
47,48,12.5576,0.0425,0.5422,0.3156,0.9365,0.0099,0.3618,33.7969,0.0604,0.1389,0.0191,0.1966,0.0130,0.0000e+00
48,49,12.5123,0.0424,0.5435,0.3170,0.9373,0.0098,0.3639,36.7094,0.0620,0.1110,0.0166,0.1738,0.0135,0.0000e+00
49,50,12.4847,0.0423,0.5453,0.3178,0.9371,0.0098,0.3671,34.9708,0.0611,0.1242,0.0166,0.1757,0.0132,0.0000e+00
50,51,12.4057,0.0422,0.5493,0.3201,0.9386,0.0097,0.3690,36.1127,0.0612,0.1155,0.0158,0.1677,0.0129,0.0000e+00
51,52,12.3799,0.0422,0.5502,0.3204,0.9388,0.0097,0.3700,35.9388,0.0612,0.1157,0.0157,0.1652,0.0130,0.0000e+00
52,53,12.3613,0.0421,0.5509,0.3210,0.9396,0.0096,0.3707,36.2074,0.0612,0.1142,0.0154,0.1624,0.0129,0.0000e+00
53,54,12.3672,0.0421,0.5511,0.3215,0.9392,0.0096,0.3721,36.5237,0.0614,0.1120,0.0154,0.1627,0.0130,0.0000e+00
54,55,12.3490,0.0421,0.5515,0.3214,0.9396,0.0096,0.3728,36.4669,0.0614,0.1111,0.0151,0.1627,0.0130,0.0000e+00
55,56,12.3557,0.0421,0.5519,0.3217,0.9396,0.0096,0.3742,36.5210,0.0613,0.1109,0.0149,0.1604,0.0129,0.0000e+00
56,57,12.3385,0.0421,0.5525,0.3222,0.9396,0.0096,0.3746,36.5893,0.0614,0.1097,0.0146,0.1582,0.0130,0.0000e+00
57,58,12.3069,0.0420,0.5528,0.3222,0.9398,0.0096,0.3754,36.6903,0.0614,0.1094,0.0144,0.1552,0.0129,0.0000e+00
58,59,12.3178,0.0420,0.5535,0.3226,0.9404,0.0096,0.3762,36.6743,0.0613,0.1093,0.0142,0.1556,0.0129,0.0000e+00
